FAMILLE_METIER;MEF;DATE_OUVERTURE;DATE_FERMETURE;DATE_INTERVENTION;N_COMMENTAIRE
011;2472521633;01/09/2016;;26/04/2023;
014;2472551032;01/09/2017;;26/04/2023;
005;2473220833;01/09/2016;;26/04/2023;
005;2473220732;01/09/2015;;26/04/2023;
005;2473220733;01/09/2016;;26/04/2023;
001;2472320532;01/09/2014;;26/04/2023;
001;2472320533;01/09/2015;;26/04/2023;
001;2472320632;01/09/2014;;26/04/2023;
001;2472320633;01/09/2015;;26/04/2023;
001;2472320732;01/09/2014;;26/04/2023;
001;2472320733;01/09/2015;;26/04/2023;
015;2472010232;01/09/2013;;26/04/2023;
015;2472200432;01/09/2013;;26/04/2023;
015;2472200433;01/09/2014;;26/04/2023;
005;2473220832;01/09/2015;;26/04/2023;
006;2472210432;01/09/2010;;26/04/2023;
006;2472210532;01/09/2010;;26/04/2023;
010;2473340332;01/09/2012;;26/04/2023;
010;2473340333;01/09/2013;;26/04/2023;
010;2472210633;01/09/2013;;26/04/2023;
013;2472340832;01/09/2012;;26/04/2023;
013;2472340833;01/09/2013;;26/04/2023;
005;2473220632;01/09/2012;;26/04/2023;
005;2473220633;01/09/2013;;26/04/2023;
006;2473120932;01/09/2010;;26/04/2023;
001;2472330432;01/09/2008;;26/04/2023;
006;2472210433;01/09/2010;;26/04/2023;
001;2472330332;01/09/2008;;26/04/2023;
006;2473120933;01/09/2010;;26/04/2023;
008;2472300433;01/09/2009;;26/04/2023;
008;2472300533;01/09/2009;;26/04/2023;
012;2472230232;01/09/2000;;26/04/2023;
012;2472230233;01/09/2000;;26/04/2023;
002;2473000433;01/09/2022;;26/04/2023;
002;2473110632;01/09/2010;;26/04/2023;
003;2473121232;01/09/2020;;26/04/2023;
003;2473121233;01/09/2021;;26/04/2023;
003;2473121131;01/09/2019;;26/04/2023;
014;2472551033;01/09/2018;;26/04/2023;
003;2473121332;01/09/2020;;26/04/2023;
003;2473121333;01/09/2021;;26/04/2023;
003;2473121432;01/09/2020;;26/04/2023;
003;2473121433;01/09/2021;;26/04/2023;
002;2473111432;01/09/2021;;26/04/2023;
002;2473111433;01/09/2022;;26/04/2023;
002;2473110633;01/09/2011;;26/04/2023;
007;2473360632;01/09/2023;;26/04/2023;
007;2473360633;01/09/2024;;26/04/2023;
002;2473000331;01/09/2019;;26/04/2023;
014;2472000831;01/09/2021;;26/04/2023;
015;2472501233;01/09/2023;;26/04/2023;
001;2472310233;01/09/2008;31/08/2025;26/04/2023;
002;2473000432;01/09/2021;;26/04/2023;
004;2473111232;01/09/2020;;26/04/2023;
015;2472501232;01/09/2022;;26/04/2023;
Métiers de l'alimentation-bio-industrie-laboratoire;2472200332;01/09/2010;31/08/2024;25/05/2023;
Métiers de l'alimentation-bio-industrie-laboratoire;2472200333;01/09/2011;31/08/2025;25/05/2023;
